raw lat_rmse=2.692807 mse=7.251209
savgol_w31_p2 lat_rmse=2.689744 mse=7.234721
savgol_w31_p3 lat_rmse=2.689752 mse=7.234768
savgol_w51_p2 lat_rmse=2.688246 mse=7.226669
savgol_w51_p3 lat_rmse=2.688272 mse=7.226809
savgol_w75_p2 lat_rmse=2.686713 mse=7.218429
savgol_w75_p3 lat_rmse=2.686731 mse=7.218521
savgol_w101_p2 lat_rmse=2.685285 mse=7.210756
savgol_w101_p3 lat_rmse=2.685306 mse=7.210866
savgol_w151_p2 lat_rmse=2.683193 mse=7.199527
savgol_w151_p3 lat_rmse=2.683115 mse=7.199104
savgol_w201_p2 lat_rmse=2.681809 mse=7.192102
savgol_w201_p3 lat_rmse=2.681849 mse=7.192317
savgol_w251_p2 lat_rmse=2.681394 mse=7.189873
savgol_w251_p3 lat_rmse=2.681464 mse=7.190252
savgol_w301_p2 lat_rmse=2.682080 mse=7.193552
savgol_w301_p3 lat_rmse=2.681991 mse=7.193074
savgol_w401_p2 lat_rmse=2.686838 mse=7.219099
savgol_w401_p3 lat_rmse=2.686854 mse=7.219186
savgol_w501_p2 lat_rmse=2.697522 mse=7.276625
savgol_w501_p3 lat_rmse=2.697191 mse=7.274838
savgol_w701_p2 lat_rmse=2.740446 mse=7.510045
savgol_w701_p3 lat_rmse=2.735991 mse=7.485648
savgol_w251_p2_med31_savgol_w101_p2 lat_rmse=2.681196 mse=7.188814
savgol_w251_p2_med31_savgol_w101_p3 lat_rmse=2.681202 mse=7.188843
savgol_w251_p2_med31_savgol_w201_p2 lat_rmse=2.680777 mse=7.186563
savgol_w251_p2_med31_savgol_w201_p3 lat_rmse=2.680753 mse=7.186439
savgol_w251_p2_med31_savgol_w301_p2 lat_rmse=2.681781 mse=7.191948
savgol_w251_p2_med31_savgol_w301_p3 lat_rmse=2.681751 mse=7.191791
savgol_w251_p2_med31_savgol_w401_p2 lat_rmse=2.686741 mse=7.218579
savgol_w251_p2_med31_savgol_w401_p3 lat_rmse=2.686752 mse=7.218635
savgol_w251_p2_med31_savgol_w501_p2 lat_rmse=2.697471 mse=7.276351
savgol_w251_p2_med31_savgol_w501_p3 lat_rmse=2.697134 mse=7.274529
savgol_w251_p2_med51_savgol_w101_p2 lat_rmse=2.681050 mse=7.188029
savgol_w251_p2_med51_savgol_w101_p3 lat_rmse=2.681062 mse=7.188091
