base exp072 lat_rmse=2.680753 mse=7.186439
last_n10_d0_s0.25 lat_rmse=2.583930 mse=6.676694
last_n10_d0_s0.5 lat_rmse=2.538890 mse=6.445961
last_n10_d0_s0.75 lat_rmse=2.548383 mse=6.494253
last_n10_d0_s1 lat_rmse=2.611822 mse=6.821612
last_n10_d250_s0.25 lat_rmse=2.672803 mse=7.143877
last_n10_d250_s0.5 lat_rmse=2.666093 mse=7.108051
last_n10_d250_s0.75 lat_rmse=2.660633 mse=7.078967
last_n10_d250_s1 lat_rmse=2.656430 mse=7.056622
last_n10_d500_s0.25 lat_rmse=2.666425 mse=7.109822
last_n10_d500_s0.5 lat_rmse=2.654563 mse=7.046703
last_n10_d500_s0.75 lat_rmse=2.645201 mse=6.997088
last_n10_d500_s1 lat_rmse=2.638367 mse=6.960981
last_n10_d1000_s0.25 lat_rmse=2.655625 mse=7.052343
last_n10_d1000_s0.5 lat_rmse=2.635390 mse=6.945282
last_n10_d1000_s0.75 lat_rmse=2.620164 mse=6.865258
last_n10_d1000_s1 lat_rmse=2.610032 mse=6.812269
last_n10_d2000_s0.25 lat_rmse=2.639034 mse=6.964502
last_n10_d2000_s0.5 lat_rmse=2.606967 mse=6.796277
last_n10_d2000_s0.75 lat_rmse=2.584920 mse=6.681812
last_n10_d2000_s1 lat_rmse=2.573146 mse=6.621078
last_n10_d5000_s0.25 lat_rmse=2.614290 mse=6.834510
last_n10_d5000_s0.5 lat_rmse=2.569083 mse=6.600187
last_n10_d5000_s0.75 lat_rmse=2.546265 mse=6.483464
last_n10_d5000_s1 lat_rmse=2.546436 mse=6.484338
late_mean_n10_d0_s0.25 lat_rmse=2.584221 mse=6.678200
late_mean_n10_d0_s0.5 lat_rmse=2.539353 mse=6.448312
late_mean_n10_d0_s0.75 lat_rmse=2.548793 mse=6.496344
late_mean_n10_d0_s1 lat_rmse=2.612036 mse=6.822730
late_mean_n10_d250_s0.25 lat_rmse=2.672829 mse=7.144017
late_mean_n10_d250_s0.5 lat_rmse=2.666140 mse=7.108304
late_mean_n10_d250_s0.75 lat_rmse=2.660696 mse=7.079303
late_mean_n10_d250_s1 lat_rmse=2.656505 mse=7.057017
late_mean_n10_d500_s0.25 lat_rmse=2.666472 mse=7.110075
late_mean_n10_d500_s0.5 lat_rmse=2.654648 mse=7.047156
late_mean_n10_d500_s0.75 lat_rmse=2.645314 mse=6.997684
late_mean_n10_d500_s1 lat_rmse=2.638497 mse=6.961665
late_mean_n10_d1000_s0.25 lat_rmse=2.655714 mse=7.052815
late_mean_n10_d1000_s0.5 lat_rmse=2.635548 mse=6.946114
late_mean_n10_d1000_s0.75 lat_rmse=2.620371 mse=6.866345
late_mean_n10_d1000_s1 lat_rmse=2.610268 mse=6.813501
late_mean_n10_d2000_s0.25 lat_rmse=2.639180 mse=6.965273
late_mean_n10_d2000_s0.5 lat_rmse=2.607227 mse=6.797633
late_mean_n10_d2000_s0.75 lat_rmse=2.585249 mse=6.683512
late_mean_n10_d2000_s1 lat_rmse=2.573501 mse=6.622908
late_mean_n10_d5000_s0.25 lat_rmse=2.614510 mse=6.835660
late_mean_n10_d5000_s0.5 lat_rmse=2.569444 mse=6.602045
late_mean_n10_d5000_s0.75 lat_rmse=2.546682 mse=6.485591
late_mean_n10_d5000_s1 lat_rmse=2.546822 mse=6.486303
late_mean_n25_d0_s0.25 lat_rmse=2.584422 mse=6.679239
late_mean_n25_d0_s0.5 lat_rmse=2.539355 mse=6.448323
late_mean_n25_d0_s0.75 lat_rmse=2.548304 mse=6.493851
late_mean_n25_d0_s1 lat_rmse=2.610680 mse=6.815648
late_mean_n25_d250_s0.25 lat_rmse=2.672875 mse=7.144259
late_mean_n25_d250_s0.5 lat_rmse=2.666220 mse=7.108730
late_mean_n25_d250_s0.75 lat_rmse=2.660800 mse=7.079857
late_mean_n25_d250_s1 lat_rmse=2.656621 mse=7.057636
late_mean_n25_d500_s0.25 lat_rmse=2.666545 mse=7.110464
late_mean_n25_d500_s0.5 lat_rmse=2.654772 mse=7.047813
late_mean_n25_d500_s0.75 lat_rmse=2.645467 mse=6.998497
late_mean_n25_d500_s1 lat_rmse=2.638658 mse=6.962515
late_mean_n25_d1000_s0.25 lat_rmse=2.655830 mse=7.053432
late_mean_n25_d1000_s0.5 lat_rmse=2.635738 mse=6.947117
late_mean_n25_d1000_s0.75 lat_rmse=2.620591 mse=6.867499
late_mean_n25_d1000_s1 lat_rmse=2.610474 mse=6.814573
late_mean_n25_d2000_s0.25 lat_rmse=2.639342 mse=6.966128
late_mean_n25_d2000_s0.5 lat_rmse=2.607469 mse=6.798893
late_mean_n25_d2000_s0.75 lat_rmse=2.585480 mse=6.684709
late_mean_n25_d2000_s1 lat_rmse=2.573635 mse=6.623595
late_mean_n25_d5000_s0.25 lat_rmse=2.614702 mse=6.836665
late_mean_n25_d5000_s0.5 lat_rmse=2.569654 mse=6.603120
late_mean_n25_d5000_s0.75 lat_rmse=2.546722 mse=6.485795
